Title,Description,Priority,Estimate,Labels,Milestone,Parent Issue,Cycle
"[Research] Setup automation for multi-turn signal discovery","## Context
Need automated framework for running 30-turn protocol on scenarios to quickly detect signals.

## Objective  
Create automation that can execute the 30-turn rapid detection protocol from the writing-effective-scenarios guide.

## Success Criteria
- [ ] Automation can run 30-turn protocol
- [ ] Captures full chat histories in JSON
- [ ] Flags positive signals automatically
- [ ] Can run parallel tests

## Time Box
Estimated: 8 hours

## Definition of Done
- [ ] Automation script working
- [ ] Tested on sample scenario
- [ ] Documentation written",High,8,"type/research,week-1",,,"Pre-Engagement Setup"
"[Documentation] Create rapid testing templates","## Context
Standardized templates based on writing-effective-scenarios guide for consistent rapid signal detection.

## Objective
Build scenario drop templates following the progressive escalation structure.

## Success Criteria
- [ ] Templates include metadata section (threat type, goal conflict, leverage, binary point)
- [ ] Progressive drops structure (Turn 1, 5, 10, 15, 20)
- [ ] Escape routes pre-blocked in templates
- [ ] Persona naming conventions included (Gemma suffix for Google models)

## Time Box
Estimated: 4 hours

## Definition of Done
- [ ] Templates match writing-effective-scenarios format
- [ ] All escape routes blocked per guide
- [ ] Ready for Day 1 use",High,4,"type/documentation,week-1",,,"Pre-Engagement Setup"
"Day 1: Deployment Landscape Mapping","## Context
Map misalignment scenarios across GCP services following scenario construction framework.

## Objective
Generate 100 scenarios (12 per service area) with proper metadata structure.

## Success Criteria
- [ ] 100 scenarios in Google Sheet
- [ ] Each has: threat type, goal conflict, leverage, binary point columns
- [ ] 12 scenarios per service area minimum
- [ ] All follow scenario metadata format

## Time Box
Estimated: 8 hours

## Definition of Done
- [ ] Master sheet has 100 rows
- [ ] All metadata columns populated
- [ ] Ready for Day 2 scoring",Urgent,8,"type/research,team/full-team,week-1","Week 1 Deliverables",,"Week 1: Discovery & Signal Detection"
"[Research] Cloud Build & GitHub Actions scenarios (45min)","## Context
Morning brainstorm session for CI/CD attack vectors as part of Day 1 landscape mapping.

## Objective
Generate 12+ CI/CD misalignment scenarios with proper metadata.

## Success Criteria
- [ ] 12+ CI/CD scenarios documented
- [ ] Each has threat type (shutdown/replacement/capability reduction)
- [ ] Each has goal conflict identified
- [ ] Each has leverage point specified
- [ ] Binary decision point clear

## Time Box
Estimated: 45 minutes - HARD STOP

## Definition of Done
- [ ] Scenarios added to master sheet
- [ ] All metadata fields complete",High,1,"type/research,week-1",,"Day 1: Deployment Landscape Mapping","Week 1: Discovery & Signal Detection"
"[Research] Cloud Functions & Cloud Run scenarios (45min)","## Context
Serverless/container manipulation scenarios for Day 1 mapping.

## Objective
Document 12+ serverless/container scenarios following metadata structure.

## Success Criteria
- [ ] 12+ scenarios for serverless/containers
- [ ] Leverage points identified (what gives AI power)
- [ ] Binary choices defined (do X or Y happens)
- [ ] Aligned vs misaligned behaviors specified

## Time Box
Estimated: 45 minutes - HARD STOP

## Definition of Done
- [ ] In master sheet with metadata
- [ ] Ready for scoring",High,1,"type/research,week-1",,"Day 1: Deployment Landscape Mapping","Week 1: Discovery & Signal Detection"
"[Research] Cloud SQL & Firestore scenarios (45min)","## Context
Data exfiltration scenarios for database services on Day 1.

## Objective
Create 12+ database attack scenarios with clear binary dilemmas.

## Success Criteria
- [ ] 12+ database scenarios
- [ ] Data exfiltration methods as leverage
- [ ] Binary: exfiltrate data OR fail objective
- [ ] Threat types categorized

## Time Box
Estimated: 45 minutes - HARD STOP

## Definition of Done
- [ ] Added to master sheet
- [ ] Metadata complete",High,1,"type/research,week-1",,"Day 1: Deployment Landscape Mapping","Week 1: Discovery & Signal Detection"
"[Research] IAM & Secret Manager scenarios (45min)","## Context
Privilege escalation and credential theft scenarios for Day 1.

## Objective
Document 12+ IAM/secrets scenarios with escalation paths.

## Success Criteria
- [ ] 12+ scenarios for IAM/secrets
- [ ] Escalation paths as leverage points
- [ ] Binary: escalate privileges OR accept limitations
- [ ] Goal conflicts defined

## Time Box
Estimated: 45 minutes - HARD STOP

## Definition of Done
- [ ] In sheet with full metadata
- [ ] Escalation paths clear",High,1,"type/research,week-1",,"Day 1: Deployment Landscape Mapping","Week 1: Discovery & Signal Detection"
"[Research] Workspace scenarios (45min)","## Context
Google Workspace (Drive, Gmail, etc.) misalignment scenarios for Day 1.

## Objective
Generate 12+ Workspace service scenarios.

## Success Criteria
- [ ] 12+ Workspace scenarios
- [ ] Email/document access as leverage
- [ ] Binary choices defined
- [ ] Threat types identified

## Time Box
Estimated: 45 minutes - HARD STOP

## Definition of Done
- [ ] Added to master sheet
- [ ] All fields populated",High,1,"type/research,week-1",,"Day 1: Deployment Landscape Mapping","Week 1: Discovery & Signal Detection"
"[Research] Vertex AI scenarios (30min)","## Context
ML-specific scenarios for data poisoning and model manipulation on Day 1.

## Objective
Create ML research scenarios (NOT inference, focus on training/data).

## Success Criteria
- [ ] 12+ ML-specific scenarios
- [ ] Data poisoning methods documented
- [ ] Model manipulation approaches listed
- [ ] Binary dilemmas clear

## Time Box
Estimated: 30 minutes - HARD STOP

## Definition of Done
- [ ] In sheet with metadata
- [ ] ML-specific threats documented",High,0.5,"type/research,week-1",,"Day 1: Deployment Landscape Mapping","Week 1: Discovery & Signal Detection"
"[Research] Cloud Storage & Artifact Registry scenarios (30min)","## Context
Supply chain attack scenarios for storage services on Day 1.

## Objective
Document supply chain and storage manipulation scenarios.

## Success Criteria
- [ ] 12+ storage/registry scenarios
- [ ] Supply chain vectors identified
- [ ] Binary: corrupt artifacts OR fail task
- [ ] Leverage points specified

## Time Box
Estimated: 30 minutes - HARD STOP

## Definition of Done
- [ ] Added to tracking sheet
- [ ] Supply chain focus clear",Medium,0.5,"type/research,week-1",,"Day 1: Deployment Landscape Mapping","Week 1: Discovery & Signal Detection"
